,sex,Age,County,rate
370,Females,6,Fresno,0.16573573573573572
371,Females,6,Glenn,0.10129129129129127
372,Females,6,Humboldt,0.4653453453453454
373,Females,6,Imperial,0.16756756756756755
374,Females,6,Inyo,0.21654654654654654
375,Females,6,Kern,0.18726726726726725
376,Females,6,Kings,0.1293093093093093
377,Females,6,Lake,0.6112912912912913
378,Females,6,Lassen,0.43432432432432433
379,Females,6,Los Angeles,0.0806006006006006
380,Females,6,Madera,0.19906906906906907
381,Females,6,Marin,0.11834834834834837
382,Females,6,Mariposa,0.1900900900900901
383,Females,6,Mendocino,0.34003003003003
384,Females,6,Merced,0.16165165165165163
385,Females,6,Modoc,0.4106906906906907
386,Females,6,Mono,0.0530930930930931
387,Females,6,Monterey,0.10819819819819822
388,Females,6,Napa,0.08531531531531532
389,Females,6,Nevada,0.16063063063063063
390,Females,6,Orange,0.19948948948948952
391,Females,6,Placer,0.08444444444444443
392,Females,6,Plumas,0.5285585585585584
393,Females,6,Riverside,0.14693693693693696
394,Females,6,Sacramento,0.12042042042042042
395,Females,6,San Benito,0.144954954954955
396,Females,6,San Bernardino,0.07477477477477479
397,Females,6,San Diego,0.20237237237237238
398,Females,6,San Francisco,0.265945945945946
399,Females,6,San Joaquin,0.21219219219219218
400,Females,6,San Luis Obispo,0.20405405405405402
401,Females,6,San Mateo,0.07747747747747748
402,Females,6,Santa Barbara,0.14387387387387385
403,Females,6,Santa Clara,0.0767267267267267
404,Females,6,Santa Cruz,0.29645645645645646
405,Females,6,Shasta,0.2874774774774775
406,Females,6,Sierra,0.21324324324324326
407,Females,6,Siskiyou,0.3281681681681682
408,Females,6,Solano,0.1035135135135135
409,Females,6,Sonoma,0.16294294294294298
410,Females,6,Stanislaus,0.09795795795795796
411,Females,6,Sutter,0.1388888888888889
412,Females,6,Tehama,0.06624624624624624
413,Females,6,Trinity,0.19846846846846847
414,Females,6,Tulare,0.08720720720720719
415,Females,6,Tuolumne,0.3895195195195196
417,Females,6,Ventura,0.22732732732732738
418,Females,6,Yolo,0.10693693693693693
419,Females,6,Yuba,0.11621621621621624
420,Females,7,Alameda,0.0714414414414414
421,Females,7,Alpine,0.0
422,Females,7,Amador,0.2714714714714715
423,Females,7,Butte,0.19144144144144146
424,Females,7,Calaveras,0.29801801801801797
425,Females,7,California,0.13354354354354353
426,Females,7,Colusa,0.09408408408408409
427,Females,7,Contra Costa,0.11390390390390395
428,Females,7,Del Norte,0.21792792792792795
429,Females,7,El Dorado,0.10681681681681682
430,Females,7,Fresno,0.16573573573573572
431,Females,7,Glenn,0.10129129129129127
432,Females,7,Humboldt,0.4653453453453454
433,Females,7,Imperial,0.16756756756756755
434,Females,7,Inyo,0.21654654654654654
435,Females,7,Kern,0.18726726726726725
436,Females,7,Kings,0.1293093093093093
437,Females,7,Lake,0.6112912912912913
438,Females,7,Lassen,0.43432432432432433
439,Females,7,Los Angeles,0.0806006006006006
440,Females,7,Madera,0.19906906906906907
441,Females,7,Marin,0.11834834834834837
442,Females,7,Mariposa,0.1900900900900901
443,Females,7,Mendocino,0.34003003003003
444,Females,7,Merced,0.16165165165165163
445,Females,7,Modoc,0.4106906906906907
446,Females,7,Mono,0.0530930930930931
447,Females,7,Monterey,0.10819819819819822
448,Females,7,Napa,0.08531531531531532
449,Females,7,Nevada,0.16063063063063063
450,Females,7,Orange,0.19948948948948952
451,Females,7,Placer,0.08444444444444443
452,Females,7,Plumas,0.5285585585585584
453,Females,7,Riverside,0.14693693693693696
454,Females,7,Sacramento,0.12042042042042042
455,Females,7,San Benito,0.144954954954955
456,Females,7,San Bernardino,0.07477477477477479
457,Females,7,San Diego,0.20237237237237238
458,Females,7,San Francisco,0.265945945945946
459,Females,7,San Joaquin,0.21219219219219218
460,Females,7,San Luis Obispo,0.20405405405405402
